,City,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
160,kismayo,-28.7667,114.6,61.21,90.0,88.0,5.75,AU,1626666073.0
161,yar-sale,9.5357,99.9357,85.91,20.0,66.0,10.36,TH,1626666073.0
162,takoradi,52.3749,4.5341,60.94,20.0,90.0,1.14,NL,1626666073.0
163,soledade,33.2833,134.15,84.24,24.0,83.0,10.47,JP,1626666073.0
164,antropovo,42.7762,-9.0603,64.09,88.0,92.0,3.31,ES,1626666074.0
165,kahului,41.1702,75.8106,65.59,54.0,55.0,2.01,KG,1626666074.0
166,shetpe,55.7435,-97.8558,50.16,90.0,93.0,3.44,CA,1626665930.0
167,saint anthony,-30.1811,-50.2056,49.73,92.0,66.0,29.48,BR,1626665917.0
168,lethem,-34.5833,150.8552,63.05,99.0,56.0,5.01,AU,1626665954.0
169,burica,37.6803,112.7319,73.15,0.0,78.0,4.47,CN,1626666074.0
170,saint-francois,-21.2078,-159.775,78.85,40.0,78.0,14.97,CK,1626665915.0
171,belushya guba,54.1502,-115.6855,56.44,90.0,94.0,6.91,CA,1626666075.0
172,broome,-23.865,35.3833,66.18,40.0,94.0,3.44,MZ,1626666075.0
173,chon daen,-12.9319,45.1483,75.13,23.0,68.0,15.7,YT,1626666075.0
174,geraldton,-34.2,142.15,56.07,75.0,62.0,8.05,AU,1626666075.0
175,ko samui,5.4112,100.3354,87.75,20.0,70.0,1.01,MY,1626665894.0
176,zandvoort,11.6667,-9.5,75.42,79.0,78.0,4.52,GN,1626665940.0
177,muroto,-21.3585,55.7679,67.55,36.0,76.0,11.03,RE,1626665910.0
178,muros,-34.7333,135.8667,59.43,39.0,65.0,21.54,AU,1626665934.0
179,at-bashi,-14.8796,47.9875,69.24,1.0,67.0,8.39,MG,1626666076.0
180,thompson,69.7008,170.3133,38.98,100.0,86.0,5.99,RU,1626665949.0
181,cidreira,35.7333,140.8333,97.29,5.0,78.0,12.33,JP,1626665916.0
182,flinders,39.4696,3.1483,72.95,0.0,69.0,3.67,ES,1626666076.0
183,yuci,50.2334,-63.5986,57.2,1.0,88.0,2.3,CA,1626666076.0
184,avarua,57.7851,36.6965,67.3,41.0,87.0,6.17,RU,1626666076.0
185,whitecourt,61.95,159.2333,59.29,100.0,69.0,13.44,RU,1626666077.0
186,inhambane,37.4833,141.0,98.71,5.0,69.0,6.44,JP,1626666077.0
187,chirongui,-6.2641,107.0712,93.04,20.0,62.0,3.44,ID,1626666077.0
188,mildura,-19.0333,-65.2627,43.56,88.0,82.0,4.9,BO,1626666077.0
189,georgetown,11.0333,-63.8628,89.33,5.0,70.0,14.97,VE,1626666078.0
190,barentsburg,61.67,96.37,60.75,99.0,88.0,2.8,RU,1626666078.0
191,siguiri,55.1001,-105.2842,55.65,90.0,76.0,8.05,CA,1626666078.0
192,saint-philippe,13.35,-15.75,74.08,100.0,89.0,5.03,GM,1626666079.0
193,port lincoln,-16.7,-151.0167,76.39,100.0,81.0,19.33,PF,1626666079.0
194,antsohihy,35.5729,53.3971,86.9,10.0,22.0,1.19,IR,1626666079.0
195,pevek,21.4267,39.8261,87.26,100.0,32.0,3.29,SA,1626665913.0
196,hasaki,70.4692,-68.5914,37.63,90.0,87.0,10.36,CA,1626665941.0
197,felanitx,31.7566,13.9942,71.13,0.0,51.0,5.48,LY,1626666079.0
198,havre-saint-pierre,42.3414,78.0056,66.13,58.0,51.0,5.23,KG,1626666080.0
199,bezhetsk,-20.5167,57.5167,67.35,40.0,94.0,3.44,MU,1626665917.0
200,evensk,47.5001,-120.5015,82.89,0.0,33.0,6.24,US,1626666080.0
201,namie,26.1842,127.7558,89.26,75.0,76.0,19.57,JP,1626665987.0
202,tambun,44.9143,127.15,86.59,64.0,62.0,6.51,CN,1626666080.0
203,sucre,10.3999,5.4695,71.56,100.0,97.0,2.93,NG,1626666080.0
204,la asuncion,39.3643,-74.4229,75.24,40.0,74.0,6.91,US,1626666081.0
205,baykit,-2.7906,-49.6717,73.44,40.0,88.0,3.29,BR,1626666081.0
206,aflu,28.4543,104.715,89.35,3.0,58.0,1.52,CN,1626666081.0
207,karauzyak,71.6872,128.8694,47.34,100.0,68.0,2.33,RU,1626665930.0
208,mrirt,7.7669,-72.225,64.15,48.0,98.0,4.43,VE,1626666081.0
209,la ronge,41.9294,19.2244,68.92,89.0,76.0,4.72,ME,1626666082.0
210,nioro,45.3167,55.2,96.76,73.0,13.0,10.36,KZ,1626666082.0
211,fare,58.8053,-122.7002,58.59,40.0,67.0,3.44,CA,1626666080.0
212,semnan,-13.7,-76.2167,61.02,0.0,82.0,4.61,PE,1626665990.0
213,mecca,9.0833,40.8667,61.84,89.0,81.0,5.03,ET,1626666082.0
214,clyde river,42.975,144.3747,83.35,20.0,69.0,13.8,JP,1626666082.0
215,bani walid,-10.4544,161.9205,84.04,99.0,65.0,12.95,SB,1626666024.0
216,pokrovka,27.8964,102.2634,80.6,1.0,51.0,2.82,CN,1626666083.0
217,souillac,38.7217,139.8217,92.41,20.0,78.0,8.05,JP,1626666083.0
218,washington,-4.5617,-37.7697,77.92,49.0,75.0,10.65,BR,1626666083.0
219,nishihara,15.85,-97.0667,80.02,45.0,80.0,6.67,MX,1626666083.0
220,wuchang,14.8961,-24.4956,74.73,60.0,86.0,7.81,CV,1626665947.0
221,kontagora,63.2909,18.7153,53.42,75.0,76.0,10.36,SE,1626666084.0
222,atlantic city,2.0167,112.9333,93.24,89.0,51.0,1.12,MY,1626666084.0
223,falealupo,-46.2817,169.8464,49.93,100.0,81.0,4.45,NZ,1626665927.0
224,baiao,69.3833,178.4167,38.44,100.0,99.0,7.96,RU,1626666009.0
225,xunchang,-20.7377,116.8463,81.99,23.0,21.0,14.34,AU,1626666037.0
226,tiksi,60.8697,60.4153,70.29,7.0,47.0,3.42,RU,1626665982.0
227,san cristobal,-16.1167,23.2667,47.8,22.0,70.0,5.35,ZM,1626666084.0
228,ulcinj,8.3018,30.1418,71.4,100.0,97.0,3.04,SS,1626666085.0
229,beyneu,27.9769,-114.0611,71.31,5.0,82.0,13.67,MX,1626665971.0
230,fort nelson,-0.9492,100.3543,86.05,96.0,68.0,4.79,ID,1626665956.0
231,pisco,-25.2986,152.8535,69.91,0.0,46.0,5.68,AU,1626665877.0
232,asbe teferi,55.9299,39.6144,70.75,91.0,83.0,5.44,RU,1626666085.0
233,kushiro,41.3712,-73.414,75.51,54.0,88.0,3.36,US,1626665909.0
234,kirakira,29.5958,-90.7195,82.0,100.0,94.0,4.0,US,1626666003.0
235,xichang,-8.7676,160.7034,85.37,100.0,65.0,6.71,SB,1626666085.0
236,tumannyy,-30.3,153.1333,68.13,52.0,51.0,12.66,AU,1626665831.0
237,tsuruoka,5.3505,48.5268,76.86,98.0,80.0,26.31,SO,1626665667.0
238,aracati,-35.3333,-72.4167,50.43,0.0,58.0,7.0,CL,1626665947.0
239,puerto escondido,39.05,-27.9833,67.51,51.0,78.0,16.44,PT,1626665978.0
240,sao filipe,-5.1241,120.253,83.71,49.0,66.0,7.9,ID,1626666086.0
241,ornskoldsvik,33.7333,135.9833,86.92,1.0,71.0,5.7,JP,1626665807.0
242,kapit,70.9963,24.6622,47.28,45.0,77.0,21.81,NO,1626665991.0
243,kaitangata,4.3133,-72.0816,72.12,95.0,95.0,3.31,CO,1626666086.0
244,leningradskiy,35.0113,37.0532,80.38,0.0,31.0,5.77,SY,1626666086.0
245,karratha,-45.5752,-72.0662,40.95,90.0,93.0,5.75,CL,1626666087.0
246,polunochnoye,20.931,-17.0347,67.87,49.0,92.0,18.14,MR,1626665913.0
247,senanga,49.2361,135.1742,77.92,84.0,72.0,3.71,RU,1626666087.0
248,ler,25.5689,91.8831,69.03,90.0,94.0,0.0,IN,1626666087.0
249,guerrero negro,16.8634,-99.8901,80.69,94.0,81.0,2.46,MX,1626665885.0
250,padang,45.6169,-61.3485,68.68,90.0,90.0,1.99,CA,1626666088.0
251,hervey bay,47.3821,-61.8597,66.22,100.0,72.0,9.22,CA,1626665942.0
252,hendijan,39.0062,-77.4286,74.44,90.0,81.0,3.0,US,1626665824.0
253,kosterevo,46.1262,-67.8403,66.49,90.0,78.0,0.0,US,1626666088.0
254,bethel,42.1584,-72.3287,71.47,90.0,85.0,1.01,US,1626665948.0
255,houma,32.3909,-110.9665,89.78,53.0,55.0,3.0,US,1626666088.0
256,auki,-20.3667,14.9667,58.39,3.0,34.0,11.25,NA,1626666088.0
257,grand river south east,-6.1349,12.3689,69.6,22.0,93.0,3.09,AO,1626666089.0
258,vaitupu,40.8021,-124.1637,57.81,6.0,69.0,4.0,US,1626666089.0
259,santa eulalia del rio,25.5,-76.65,82.63,7.0,74.0,14.79,BS,1626666089.0
260,coffs harbour,24.3667,88.6,81.63,100.0,83.0,5.79,BD,1626666089.0
261,hobyo,-33.6971,-53.4616,49.37,100.0,81.0,21.9,UY,1626665774.0
262,constitucion,45.3997,42.5867,82.62,12.0,49.0,8.28,RU,1626666090.0
263,lagoa,45.2333,147.8833,66.9,51.0,82.0,4.05,RU,1626666090.0
264,sinjai,54.7909,18.4009,60.94,45.0,70.0,14.07,PL,1626666090.0
265,shingu,6.4965,2.6036,78.62,100.0,85.0,6.49,BJ,1626666090.0
266,havoysund,66.0449,-17.3389,60.71,100.0,80.0,3.22,IS,1626665951.0
267,puerto gaitan,2.6708,72.8944,81.52,82.0,75.0,5.73,MV,1626666091.0
268,salamiyah,51.2585,-80.6094,48.2,90.0,81.0,0.0,CA,1626665946.0
269,coihaique,52.6333,29.7333,68.54,97.0,91.0,5.21,BY,1626665990.0
270,nouadhibou,-17.5667,-149.8667,77.72,100.0,77.0,23.17,PF,1626666091.0
271,litovko,-9.5402,16.341,59.5,86.0,42.0,2.89,AO,1626666091.0
272,shillong,69.4058,86.1778,50.43,100.0,62.0,9.4,RU,1626666091.0
273,acapulco,4.375,-7.7169,75.33,98.0,77.0,7.49,LR,1626666092.0
274,port hawkesbury,70.6333,147.9167,60.64,90.0,37.0,5.21,RU,1626665926.0
275,cap-aux-meules,5.5,120.8833,83.34,41.0,76.0,11.16,PH,1626666092.0
276,sterling,3.1655,-52.3158,70.34,37.0,99.0,1.95,GF,1626666092.0
277,houlton,-9.1061,124.8925,85.06,58.0,42.0,2.71,ID,1626666092.0
278,palmer,63.4427,-20.2734,50.13,86.0,89.0,9.78,IS,1626665905.0
279,oro valley,20.0,-3.0,90.32,12.0,31.0,7.85,ML,1626666093.0
280,khorixas,22.8909,-109.9124,87.51,100.0,62.0,4.0,MX,1626665762.0
281,armacao dos buzios,55.7833,109.55,52.84,100.0,93.0,0.6,RU,1626666093.0
282,soyo,58.8693,9.4149,57.58,9.0,69.0,8.9,NO,1626666093.0
283,eureka,-7.8447,-79.1469,65.98,37.0,80.0,6.62,PE,1626665921.0
284,haibowan,23.6399,88.128,86.86,100.0,71.0,3.71,IN,1626666094.0
285,dunmore town,-33.0117,17.9442,48.25,16.0,89.0,8.21,ZA,1626666001.0
286,rajshahi,33.9675,68.9486,80.92,0.0,21.0,2.3,AF,1626666094.0
287,chuy,39.447,-86.1758,71.55,0.0,87.0,6.82,US,1626666094.0
288,blagodatnoye,-12.3857,-46.5711,71.62,6.0,34.0,5.12,BR,1626666094.0
289,kurilsk,51.0333,90.2333,72.32,31.0,39.0,3.2,RU,1626666095.0
290,wladyslawowo,-20.3297,-40.2925,67.95,0.0,88.0,0.0,BR,1626665920.0
291,porto novo,66.0833,76.6333,58.12,56.0,57.0,2.19,RU,1626666095.0
292,mergui,-2.8792,-41.6669,77.23,14.0,88.0,7.9,BR,1626665984.0
293,husavik,-27.3667,-70.3333,51.49,100.0,53.0,2.1,CL,1626666095.0
294,kudahuvadhoo,69.4865,88.3972,54.55,79.0,61.0,4.92,RU,1626665968.0
295,moose factory,-23.1333,150.7333,73.18,1.0,46.0,5.91,AU,1626666095.0
296,svetlogorsk,-34.0527,23.3716,60.22,5.0,41.0,8.23,ZA,1626665994.0
